시간,시가,고가,저가,종가,5_종가,10_종가,20_종가,60_종가,120_종가,거래량,5_거래량,10_거래량,20_거래량,60_거래량,120_거래량
"01/29,14:29","74,700","74,800","74,700","74,700","74,780.00","74,820.00","74,795.00","74,741.67","74,630.83","8,800","40,197.00","26,546.50","25,454.65","35,199.00","24,070.09"
"01/29,14:28","74,800","74,900","74,700","74,700","74,800.00","74,840.00","74,795.00","74,740.00","74,629.17","141,091","41,181.80","26,726.40","25,350.25","35,248.38","24,031.63"
"01/29,14:27","74,800","74,900","74,800","74,900","74,820.00","74,850.00","74,800.00","74,738.33","74,626.67","15,603","16,708.60","28,357.00","19,715.45","33,150.62","22,896.55"
"01/29,14:26","74,900","74,900","74,800","74,800","74,820.00","74,830.00","74,795.00","74,733.33","74,623.33","19,538","16,263.80","27,764.20","21,410.90","33,028.73","22,795.46"
"01/29,14:25","74,900","74,900","74,800","74,800","74,840.00","74,830.00","74,795.00","74,730.00","74,620.83","15,953","14,493.60","26,611.30","30,313.05","32,848.05","22,667.36"
"01/29,14:24","74,800","74,900","74,800","74,800","74,860.00","74,820.00","74,800.00","74,726.67","74,617.50","13,724","12,896.00","25,713.40","30,106.50","32,654.63","22,569.13"
"01/29,14:23","74,900","74,900","74,800","74,800","74,880.00","74,810.00","74,805.00","74,723.33","74,614.17","18,725","12,271.00","24,981.30","30,639.05","32,567.60","22,501.95"
"01/29,14:22","74,800","74,900","74,800","74,900","74,880.00","74,810.00","74,805.00","74,720.00","74,610.83","13,379","40,005.40","23,870.60","31,091.60","32,338.05","22,367.93"
"01/29,14:21","74,900","74,900","74,800","74,900","74,840.00","74,800.00","74,805.00","74,715.00","74,606.67","10,687","39,264.60","24,050.10","30,732.65","32,264.23","22,291.63"
"01/29,14:20","74,900","74,900","74,800","74,900","74,820.00","74,780.00","74,805.00","74,711.67","74,603.33","7,965","38,729.00","24,481.40","30,590.10","32,184.53","22,849.78"
"01/29,14:19","74,900","74,900","74,800","74,900","74,780.00","74,770.00","74,805.00","74,706.67","74,600.00","10,599","38,530.80","24,362.80","30,716.15","32,180.30","22,823.28"
